"Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
"DEAD","BLUE WHALE","EASTERN N PACIFIC",2018,6,16,"VESSEL STRIKE","SAN FRANCISCO","CA","DEAD","NECROPSY: LARGE AREAS OF MUSCLE HEMORRHAGE ON THE LEFT AND RIGHT DORSO-LATERAL SIDES. HEMORRHAGED TISSUE OBSERVED CAUDAL TO THE GAPE ON THE LEFT SIDE. EXTENSIVE NECROTIC TISSUE WAS NOTED CAUDAL TO THE SKULL AT THE CERVICAL VERTEBRAE. BONE BRUISING WAS OBSERVED ON ALL OF THE RIBS THAT WERE VISUALIZED ON THE LEFT SIDE AND ON THE LEFT MANDIBLE. THERE WAS EXTENSIVE FREE-FLOWING BLOOD OBSERVED WHEN THE RIGHT THORAX WAS OPENED UP. THE FIRST THREE (3) LUMBAR VERTEBRAE WERE SURROUNDED BY NECROTIC TISSUE AND WERE SHATTERED INTO MANY PIECES, INCLUDING FRACTURED LATERAL PROCESSES, FRACTURED CENTRUMS, AND A FRACTURED EPIPHYSEAL PLATE. ALL OTHER VERTEBRAE THAT WERE VISUALIZED WERE INTACT. FINDINGS CONSISTENT WITH VESSEL STRIKE AS CAUSE OF DEATH.","DEAD",NA,1,"N","Y"
"UNKNOWN","BLUE WHALE","EASTERN N PACIFIC",2018,7,16,"UNIDENTIFIED FISHERY INTERACTION","SONOMA","CA","SI (PRORATE)","WHALE TRAILING 2 YELLOW BUOYS APPROXIMATELY 40 FT. BEHIND ANIMAL. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"DEAD","BLUE WHALE","EASTERN N PACIFIC",2019,6,2,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","WHALE CAME IN ON THE BOW OF A CRUISE SHIP ENTERING LONG BEACH. VESSEL HAD LEFT MEXICO THE PREVIOUS NIGHT. LARGE AREA OF TRAUMA SURROUNDING A CREASE ON THE WHALES BACK JUST IN FRONT OF DORSAL FIN. CREASE WAS ALSO SURROUNDED BY BLUE PAINT. CREASE AND BLUE PAINT ARE LIKELY FROM ANIMAL BEING PINNED TO THE BOW OF THE SHIP. THERE IS HEMORRHAGING OBSERVED ON THE OPPOSITE SIDE OF THE BODY FROM WHERE THE CREASE WAS, IT IS BELIEVED THAT THE VESSEL COLLISION WAS ANTE-MORTEM. RIGHT PECTORAL FLIPPER BROKEN AT INSERTION AND JAWS WERE SEPARATED, BOTH OF THESE ARE BELIEVED TO BE POST-MORTEM.","DEAD",NA,1,"N","Y"
"UNKNOWN","BLUE WHALE","EASTERN N PACIFIC",2020,9,3,"UNIDENTIFIED FISHERY INTERACTION","SANTA BARBARA","CA","NSI","BLUE WHALE WITH HEALING LINEAR SCAR POSTERIOR TO DORSAL FIN THAT APPEARS TO HAVE BEEN CAUSED BY LARGE DIAMETER ROPE OR OTHER ENTANGLING MATERIAL. THERE ARE ALSO RAW ABRASIONS THE LENGTH OF THE CAUDAL PEDUNCLE AND ON THE ANTERIOR MARGIN OF THE DORSAL FIN, INDICATING THAT ENTANGLING MATERIAL SHIFTED TOWARDS THE BACK OF THE WHALE AT SOME POINT. ANOTHER, LARGER DIAMETER INDENTATION IS VISIBLE MID-BODY FROM UAV FOOTAGE, PRESUMABLY FROM THE SAME ENTANGLEMENT. WHALE WAS FREE-SWIMMING WITH NO GEAR ATTACHED, IN APPARENT GOOD HEALTH, DESPITE EVIDENCE OF A PREVIOUS CONSTRICTING ENTANGLEMENT. ASSIGNED NON-SERIOUS INJURY AS THE WHALE IS GEAR FREE AND IN APPARENT GOOD HEALTH. .","NSI","L2",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,1,1,"SHOOTING","PIERCE","WA","DEAD","FRESH CARCASS WITH EVIDENCE OF SHOOTING / GUNSHOT.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,1,1,"VESSEL STRIKE","PIERCE","WA","DEAD","FRESH DEAD. VESSEL TRAUMA (SHARP AND BLUNT)8 ROUGHLY PARERALL LACERATION/ IMPRESSIONS EXTENDING FOR L SIDE TIP OF NOSE DOWN TO BASE OF TAIL.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,1,14,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL WITH FISHING LINE WOUND AROUND DORSAL REGION. EUTHANIZED IN REHAB FACILITY.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,1,14,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL WITH SWOLLEN LEFT FLIPPER WHERE FISHING HOOK HAD BEEN LOCATED. EUTHANIZED IN REHAB CENTER.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,1,20,"GILLNET FISHERY","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL WITH GILLNET ENTANGLEMENT INJURY AROUND NECK. EUTHANIZED IN REHAB FACILITY.","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,1,28,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","HOOK IN BOTTOM JAW. TAKEN TO REHAB, TREATED AND RELEASED","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,1,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","LETHARGIC AND EMACIATED ANIMAL WITH FISHING HOOK AND LINE IN MOUTH. INITIALLY SEEN ALIVE. LATER FOUND DEAD WITH FISHING LINE AROUND NECK.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,1,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","ANIMAL WITH CIRCUMFERENTIAL WOUNDS AROUND NECK. TREATED AT REHAB AND RELEASED.","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,3,"SHOOTING","SAN LUIS OBISPO","CA","SI","LETHARGIC AND EMACIATED ANIMAL EUTHANIZED IN REHAB. NECROPSY PERFORMED, DETAILS ON LOCATION OF GUNSHOT INJURY NOT GIVEN.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,4,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","EMACIATED ANIMAL WITH HOOK IN LEFT LOWER JAW, REMOVED EASILY BY RESCUERS. TREATED AT REHAB AND RELEASED.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,14,"HARASSMENT","SAN DIEGO","CA","NSI","SEA LION PUP ON BEACH BEING HARASSED BY PUBLIC, REPORTEDLY BEING TOUCHED AND PINCHED. TAKEN TO REHAB FACILITY, TREATED AND RELEASED.","NSI","P9",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,15,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","FISH HOOK IN RIGHT SIDE OF LOWER LIP. ANIMAL TREATED IN REHAB AND RELEASED.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,15,"MARINE DEBRIS","CLATSOP","OR","SI","CIRCUMFERENTIAL, CONSTRICTING WOUND AROUND NECK, POSSIBLY FROM PACKING BAND MATERIAL. NO RESCUE EFFORT INITIATED.","SI","P8A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,16,"MARINE DEBRIS","CLATSOP","OR","SI","CIRCUMFERENTIAL WOUND AROUND NECK FROM UNKNOWN MATERIAL. MATERIAL CUTTING INTO SKIN, SUBDERMAL LAYER EXPOSED. NO RESCUE EFFORT.","SI","P8A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,16,"HOOK AND LINE FISHERY","CLATSOP","OR","SI","CIRCUMFERENTIAL CONSTRICTING WOUND AROUND NECK FROM WHAT APPEARS TO BE SINGLE STRAND OF MONOFILAMENT LINE. NO RESCUE EFFORT.","SI","P8A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,16,"MARINE DEBRIS","CLATSOP","OR","SI","CIRCUMFERENTIAL ENTANGLEMENT AROUND NECK, CONSTRICTING, MATERIAL UNKNOWN. NO RESCUE EFFORT.","SI","P8A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,16,"MARINE DEBRIS","CLATSOP","OR","SI","CIRCUMFERENTIAL ENTANGLEMENT AROUND NECK, CONSTRICTING, MATERIAL UNKNOWN. NO RESCUE EFFORT.","SI","P8A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,18,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","CIRCUMFERENTIAL WOUND AROUND NECK FROM FISHING LINE. TREATED AT REHAB FACILITY AND RELEASED.","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,23,"SHOOTING","LINCOLN","OR","DEAD","APPARENT BULLET ENTRY WOUND AT DORSAL INSERSION OF RIGHT FRONT FLIPPER; RADIUS AND ULNA SHATTERED; SURROUNDING TISSUED HEMORRHAGED","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,24,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","EMACIATED ANIMAL WITH HOOK IN MOUTH. TREATED AT REHAB FACILITY AND RELEASED.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,24,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","EMACIATED ANIMAL WITH HOOK IN MOUTH. TREATED AT REHAB FACILITY AND RELEASED.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,24,"OIL / TAR","SAN LUIS OBISPO","CA","SI","EMACIATED ANIMAL WITH LACERATION NEAR EYE AND OIL / TAR ON BODY. DIED IN REHAB FACILITY.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,25,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","SEVERELY EMACIATED. MONOFILAMENT FISHING LINE WRAPPED AROUND FACE AND BEHIND EYES. SEVERE POOR BODY CONDITION RESULTING FROM ENTRAPMENT WITH FISHING TACKLE, AND GASTROESOPHAGEAL WOUNDS ASSOCIATED WITH INGESTED FISHING TACKLE FOREIGN BODIES WAS CONSIDERED TO BE THE PRIMARY CAUSE OF DEATH.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,26,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,27,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","EMACIATED ANIMAL WITH FISHING HOOK IN CHEEK. TREATED AT REHAB FACILITY AND RELEASED.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,28,"HOOK AND LINE FISHERY","ORANGE","CA","SI","MALNOURISHED ANIMAL WITH FISHING LINE IN MOUTH. TREATED AND DIED IN REHAB FACILITY. NECROPSY PERFORMED.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,2,28,"MARINE DEBRIS","SAN LUIS OBISPO","CA","SI","MALNOURISHED ANIMAL ENTANGLED IN MARINE DEBRIS. ANIMAL EUTHANIZED AT REHAB FACILITY.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,7,"VEHICLE COLLISION","LOS ANGELES","CA","DEAD","HIT BY CAR.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,12,"OIL / TAR","MONTEREY","CA","SI","EMACIATED ANIMAL WITH SMALL PATCH OF TAR ON ABDOMEN TAKEN INTO REHAB FACILITY, TREATED AND RELEASED.","NSI","P9",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,13,"MARINE DEBRIS","VENTURA","CA","SI","ANIMAL DISENTANGLED FROM EITHER MARINE DEBRIS OR FISHING GEAR. ENTANGLING MATERIAL WAS NOT DESCRIBED BY RESPONDERS.","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,15,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISED ANIMAL WITH FISHING LINE ENTANGLEMENT SCAR AROUND NECK. ANIMAL DIED IN REHAB FACILITY.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,16,"SHOOTING",NA,"OR","DEAD","SEVERAL SUSPICIOUS HOLES AND HEMORRHAGE IN THE BODY; SKULL TOTALLY EXPOSED; KIDNEYS AND LUNGS ABNORMAL; A SUBSTANTIAL AMOUNT OF CLOUDY, PINK-TINGED FLUID IN THORACIC CAVITY; THE ANIMAL HAD GOOD BODY CONDITION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,17,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","MALNOURISHED PUP WITH FISHING LINE IN MOUTH THAT WRAPS AROUND BODY AND FLIPPER WITH ONE HOOK IN FLIPPER AND TWO HOOKS IN MOUTH. HOOKS AND LINE REMOVED IN REHAB FACILITY, ANIMAL RELEASED.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,19,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","FISH HOOK IN LOWER JAW AND LIP OF MALNOURISHED ANIMAL. DIED IN REHAB FACILITY.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,23,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","ANIMAL WITH GOOD BODY CONDITION WITH HOOK IN MOUTH, TREATED IN REHAB AND RELEASED.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,24,"HOOK AND LINE FISHERY","SAN DIEGO","CA","NSI","HOOK IN LEFT FRONT FLIPPER, REMOVED AT REHAB FACILITY.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,27,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","3 HOOKS ON FLIPPERS, OIL/TAR PATCH ON EMACIATED ANIMAL. DIED IN REHAB.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,27,"MARINE DEBRIS","SANTA CRUZ","CA","SI","EMACIATED ANIMAL WITH PLASTIC IN ITS STOMACH. DIED IN REHAB FACILITY.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,28,"HOOK AND LINE FISHERY","SAN DIEGO","CA","NSI","FISHING HOOK ON RIGHT SIDE OF FACE NEAR EYE, EMACIATED ANIMAL. TREATED IN REHAB AND RELEASED.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,28,"SHOOTING",NA,"OR","DEAD","ENTRANCE/EXIT HOLES WITH ASSOCIATED BONE DAMAGE, HEMORRHAGE, AND BLOOD CLOTTING; HEMORRHAGE ALSO IN OTHER AREAS OF BODY AND JUST ANTERIOR TO HEART; INTESTINES TIGHTLY TWISTED; THE SEA LION HAD EXCELLENT BODY CONDITION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,3,31,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","HOOK REMOVED FROM MOUTH AND ANIMAL RELEASED ON THE BEACH. NO INFORMATION ON CONDITION OF ANIMAL.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,1,"MARINE DEBRIS","LOS ANGELES","CA","SI","ANIMAL WITH WOUND AROUND NECK FROM UNKNOWN CAUSE. TREATED AND RELEASED FROM REHAB FACILITY.","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,2,"HOOK AND LINE FISHERY","MONTEREY","CA","SI","ANIMAL WITH FISHING LINE WRAPPED AROUND NECK, DIED IN REHAB.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","WEEK OF APRIL 4 (ODFW SUMMARY): ONE OF TEN CA SEA LIONS TARGETED FOR REMOVAL THAT WERE TRAPPED AND EUTHANIZED UNDER MMPA SECTION 120.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2016,4,4,"HOOK AND LINE FISHERY","ORANGE","CA","SI","EMACIATED ANIMAL WITH FISH HOOKS IN HEAD AND FLIPPERS, DIED IN REHAB.","DEAD",NA,1,"N","Y"
