"Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,13,"MARINE DEBRIS","MARIN","CA","SI","MARINE DEBRIS INGESTION; BUBBLE WRAP IN STOMACH AND DOMOIC ACID TOXICITY. ANIMAL ORIGINALLY STRANDED IN SAN LUIS OBISPO ON 1/7/18 AND RELEASED ON 1/26/18 AT CHIMNEY ROCK POINT REYES NATIONAL SEASHORE. ANIMAL WAS RESIGHTED AT DRAKES BEACH ON 2/13 AND RESTRANDED ON 2/17 IN POINT REYES NATIONAL SEASHORE. ANIMAL WAS EUTHANIZED.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,14,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,17,"SHOOTING","SAN DIEGO","CA","DEAD","UNRESPONSIVE THIN AND LETHARGIC ANIMAL FOUND ON BEACH. BULLETS FOUND UPON X-RAY IN HIS LOWER RIGHT JAW.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,21,"MARINE DEBRIS","SAN DIEGO","CA","SI","ANIMAL HAD A RUBBER BAND AROUND ITS MOUTH, SECURING THE MOUTH CLOSED. RUBBER BAND WAS REMOVED ON SITE AND THE ANIMAL WAS RELEASED IMMEDIATELY AFTER.","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,3,9,"SHOOTING","GRAYS HARBOR","WA","DEAD","PENETRATING PUNCTURE WOUNDS AT BOTH SIDES OF CHEST, ABLE TO TRACK AT LEAST ONE WOUND INTO CHEST CAVITY AND THROUGH LUNG. SMALL 1-2CM BULLET (PELLET) RECOVERED FROM INSIDE OF CHEST CAVITY.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,3,12,"OIL / TAR","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL WITH OIL/TAR ON BODY. OUTCOME UNKNOWN.","SI","P9",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,3,29,"HOOK AND LINE FISHERY","ORANGE","CA","SI","EMACIATED AND DEHYDRATED ANIMAL WITH MULTIPLE FISH HOOKS. LOCATION OF HOOKS NOT REPORTED. OUTCOME UNKNOWN. BASED ON ANIMAL'S CONDITION, ASSUMPTION IS THAT HOOKS WERE LOCATED IN HEAD / MOUTH, POSSIBLY INTERFERING WITH FEEDING.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,4,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,10,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,10,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,11,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,11,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,11,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,11,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,13,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","FISHING LURE HANGING FROM MOUTH. APPEARS TO HAVE SWALLOWED HOOK. THIN. VERY ACTIVE AND AGGRESSIVE. .22 GAUGE BULLET FOUND ON X-RAY. LOCATED TO THE LEFT OF THE SPINE, MID-BODY, HALF-WAY DOWN THE BODY IN LENGTH. TWO ANIMALS DISTURBED DURING RESCUE. NO DETAILS ON WHETHER FINAL CONDITION WAS DEAD OR RELEASED POST-TREATMENT. ASSUMED TO BE A SERIOUS INJURY BASED ON DETAILS PROVIDED.","SI","P2",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,17,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,17,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,18,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,18,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,19,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,19,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,20,"HOOK AND LINE FISHERY","ORANGE","CA","SI","FISH HOOK IN RIGHT SIDE OF MOUTH. ANIMAL EMACIATED AND DEHYDRATED.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,21,"SHOOTING","CLATSOP","OR","DEAD","ANIMAL WITH EXCELLENT BODY CONDITION WITH OBVIOUS HEMORRHAGE PATTERN ON HEAD AND NECK - LIKELY SHOOTING.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"CATCH SHARES BOTTOM TRAWL","OFFSHORE","OR","NSI","ANIMAL ENTANGLED IN NET, BROUGHT ON DECK AND ANIMAL EXITED VESSEL UNDER ITS OWN POWER. OBSERVER PROGRAM.","NSI","P4",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,25,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,28,"HOOK AND LINE FISHERY","ORANGE","CA","SI","EMACIATED AND DEHYDRATED ANIMAL WITH FISH HOOK IN MOUTH. OUTCOME UNKNOWN.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,28,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,1,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,1,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,1,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,1,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,2,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,3,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","ANIMAL KILLED IN GEAR.","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,3,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,3,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,3,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,9,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL DESCRIBED AS HAVING INTERACTED WITH HOOK AND LINE FISHERY. NO DETAILS ON INJURY TYPE OR SEVERITY, OR OUTCOME. ASSUMING HOOKS WERE IN OR NEAR MOUTH DUE TO CONDITION OF ANIMAL.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,9,"SHOOTING","PACIFIC","WA","DEAD","BULLET RETRIEVED FROM A SEA LION WITH EXCELLENT BODY CONDITION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,9,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","UNDERWEIGHT PUP WITH FISHING HOOK IN NOSE TRANSFERRED TO CAPTIVE DISPLAY FACILITY.","CAPTIVITY","P5B",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,9,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,11,"SHOOTING","PACIFIC","WA","DEAD","ANIMAL SHOT IN HEAD; BULLET/PELLET FRAGMENTS RETRIEVED.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,14,"SHOOTING","PACIFIC","WA","DEAD","BULLET RECOVERED FROM A SEA LION WITH EXCELLENT BODY CONDITION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,15,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
