"","Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
"11","DECLINE","BLUE WHALE","EASTERN NORTH PACIFIC",2015,9,4,"UNIDENTIFIED POT/TRAP FISHERY ENTANGLEMENT","LOS ANGELES","CA","SI (PRORATE)","VERTICAL IMAGERY INDICATES THAT GEAR ORIGINATES FROM MOUTH OR RIGHT PECTORAL AND RUNS ALONG BODY, POSSIBLY TWO LINES, ONE OVER THE FLUKES AND ANOTHER UNDER THE FLUKES THEN APPROX 40 FT BEHIND WHALE, THEN WRAPS/TWISTS TOGETHER AND GOES BACK 400+ FEET; CDFW CONCURS IS CONSISTENT WITH DEEP SET TRAP, POSSIBLY HAGFISH, SABLEFISH, OR SPOT PRAWN. CONFIGURATION OF GEAR UNKNOWN. WHALE REPORTED AS SWIMMING AND DIVING, BUT NOT ENOUGH TO SUBMERGE BODY. WHALE APPEARS SLIGHTLY THIN, IMPLYING A DECLINE IN HEALTH STATUS DUE TO THE TRAILING GEAR.  SERIOUS INJURY PRORATION VALUE IS ASSIGNED AS = 1 FOR THIS REASON.","SI (PRORATE)","L10",1,"Y","Y"
"12","DECLINE","BLUE WHALE","EASTERN NORTH PACIFIC",2016,6,26,"DUNGENESS CRAB POT FISHERY (CALIFORNIA)","SAN DIEGO","CA","SI","TRAILING 2 RED BULLET BUOYS WITH PURPLE T6 CDFW DUNGENESS CRAB BUOY TAG; LINE WRAPPED THROUGH MOUTH OR AROUND PECTORAL FIN. GEAR WAS ORIGINALLY SET OFF SAN LUIS OBISPO IN 40 - 70 FATHOMS OF WATER. WHALE SEEN NEXT DAY, LOGGING AT SURFACE, WHICH IS ABNORMAL BEHAVIOR FOR A BLUE WHALE. UNSUCCESSFUL ATTEMPT AT DISENTANGLING WHALE. FULL CONFIGURATION OF GEAR UNKNOWN. THIS IS A SERIOUS INJURY BECAUSE OF THE NOTED HEALTH DECLINE OF THE WHALE.","SI","L10",1,"Y","Y"
"13","DECLINE","BLUE WHALE","EASTERN NORTH PACIFIC",2016,7,14,"DUNGENESS CRAB POT FISHERY (CALIFORNIA)","LOS ANGELES","CA","SI","TRAILING BUOYS AND LINE. MULTIPLE RESIGHTS AS FAR NORTH AS SANTA CRUZ COUNTY. SEEN ACTIVELY FEEDING WITH OTHER BLUE WHALES THROUGH EARLY OCTOBER. FINAL SIGHTING WAS IN OCTOBER OFF OF LOS ANGELES. WHALE BODY CONDITION WAS DESCRIBED AS 'EMACIATED' IN AUGUST AND 'FAIR' IN OCTOBER. LINE WRAPPED AROUND BODY, 2 YELLOW BUOYS WITH BLUE TIPS, TRAILING 30 FEET BEHIND WHALE, SPACED 1 FM APART, PURPLE CDFW DUNGENESS CRAB BUOY TAG VISIBLE, VIDEO SHOWS ALGAE AND BARNACLE GROWTH ON ROPE AND BUOYS, COMPRESSION OF BUOYS. UNCERTAINTY OVER WHETHER LINE EXTENDS THROUGH MOUTH OR JUST OVER PECTORAL FLIPPERS. HEALTH DECLINE AND TWO CRISS-CROSSED CONSTRICTING MULTIPLE WRAPS OF LINE POSTERIOR OF DORSAL AROUND BODY WARRANTS SERIOUS INJURY.","SI","L2",1,"Y","Y"
"14","UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2016,8,15,"UNIDENTIFIED FISHERY INTERACTION","SAN FRANCISCO","CA","SI (PRORATE)","REPORT OF AN ENTANGLED WHALE NEAR THE FARALLON ISLANDS. AMOUNT OF GEAR AND CONFIGURATION UNKNOWN.","SI (PRORATE)","L10",0.75,"N","Y"
"15","UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2016,8,28,"UNIDENTIFIED FISHERY INTERACTION","MONTEREY","CA","SI (PRORATE)","TWO BLACK OR GREEN BUOYS WITH ABUNDANT MARINE GROWTH TRAILING BEHIND WHALE ABOUT 20-30 FEET. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"N","Y"
"16","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2016,10,26,"VESSEL STRIKE","SAN MATEO","CA","DEAD","MODERATELY DECOMPOSED 65-FOOT LONG BLUE WHALE NECROPSIED. FINDINGS OF BLUNT FORCE TRAUMA. SOME UNCERTAINTY WHETHER OR NOT VESSEL STRIKE WAS POST-MORTEM.","DEAD","NA",1,"N","N"
"17","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2017,5,25,"VESSEL STRIKE","MARIN","CA","DEAD","NECROPSY. BLUNT FORCE TRAUMA DUE TO A BOAT STRIKE. LEFT SIDE OF BODY WAS DAMAGED. FINDINGS INCLUDED 10 BROKEN RIBS AND 10 FRACTURED VERTEBRAE NEAR THE TAIL AND MID-BODY.","DEAD","NA",1,"N","Y"
"18","UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2017,6,10,"DUNGENESS CRAB POT FISHERY (CALIFORNIA)","SAN FRANCISCO","CA","SI (PRORATE)","TWO BUOYS ON RIGHT SIDE OF BODY, WITH LINE POSSIBLY EXTENDING TO MOUTH.  ONE BUOY HAD A RED/ORANGE TAG, THIS IS A CA DUNGENESS CRAB ENTANGLEMENT. ONE LARGER YELLOW BUOY WITH BLACK LONGITUDINAL STRIPE TRAILING OFF RIGHT SIDE, MID BODY, POSSIBLE MOUTH ENTANGLEMENT. ANIMAL LUNGING AT SURFACE, OBSERVERS REPORT IT MIGHT HAVE SELF-RELEASED, BUT BUOYS WERE NOT SEEN AGAIN. UNCERTAINTY REGARDING CONTINUED PRESENCE OF GEAR ON ANIMAL AND UNKNOWN CONFIGURATION WARRANTS PRORATED SERIOUS INJURY.","SI (PRORATE)","L10",0.75,"Y","Y"
"19","UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2017,8,19,"UNIDENTIFIED FISHERY INTERACTION","SAN DIEGO","CA","SI (PRORATE)","BLUE LINE DRAPED OVER BACK OF WHALE DIAGONALLY, FROM ANTERIOR TO DORSAL FIN, TOWARDS MIDBODY. PHOTOS SHOW THAT PRIVATE VESSEL RETRIEVED, VIA CUTTING,  A LONG LENTGH OF BLUE LINE AND 2 LARGE BUMPER BUOYS. UNCLEAR IF GEAR REMAINS ON ANIMAL. GOOD BODY CONDITION. UNKNOWN GEAR CONFIGURATION AND AMOUNT.","SI (PRORATE)","L10",0.75,"N","Y"
"20","UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2017,9,23,"UNIDENTIFIED FISHERY INTERACTION","SAN FRANCISCO","CA","SI (PRORATE)","BLUE WHALE TRAILING A SINGLE BUOY APPROXIMATELY 1.5 BODY LENGTHS BEHIND TAIL. ANIMAL WAS ACTIVELY SWIMMING. GEAR CONFIGURATION AND AMOUNT UNKNOWN.","SI (PRORATE)","L10",0.75,"N","Y"
"21","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2018,6,16,"VESSEL STRIKE","SAN FRANCISCO","CA","DEAD","NECROPSY: LARGE AREAS OF MUSCLE HEMORRHAGE ON THE LEFT AND RIGHT DORSO-LATERAL SIDES. HEMORRHAGED TISSUE OBSERVED CAUDAL TO THE GAPE ON THE LEFT SIDE. EXTENSIVE NECROTIC TISSUE WAS NOTED CAUDAL TO THE SKULL AT THE CERVICAL VERTEBRAE. BONE BRUISING WAS OBSERVED ON ALL OF THE RIBS THAT WERE VISUALIZED ON THE LEFT SIDE AND ON THE LEFT MANDIBLE. THERE WAS EXTENSIVE FREE-FLOWING BLOOD OBSERVED WHEN THE RIGHT THORAX WAS OPENED UP. THE FIRST THREE (3) LUMBAR VERTEBRAE WERE SURROUNDED BY NECROTIC TISSUE AND WERE SHATTERED INTO MANY PIECES, INCLUDING FRACTURED LATERAL PROCESSES, FRACTURED CENTRUMS, AND A FRACTURED EPIPHYSEAL PLATE. ALL OTHER VERTEBRAE THAT WERE VISUALIZED WERE INTACT. FINDINGS CONSISTENT WITH VESSEL STRIKE AS CAUSE OF DEATH.","DEAD","NA",1,"N","Y"
"22","UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2018,7,16,"UNIDENTIFIED FISHERY INTERACTION","SONOMA","CA","SI (PRORATE)","WHALE TRAILING 2 YELLOW BUOYS APPROXIMATELY 40 FT. BEHIND ANIMAL. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"23","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2019,6,2,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","WHALE CAME IN ON THE BOW OF A CRUISE SHIP ENTERING LONG BEACH. VESSEL HAD LEFT MEXICO THE PREVIOUS NIGHT. LARGE AREA OF TRAUMA SURROUNDING A CREASE ON THE WHALES BACK JUST IN FRONT OF DORSAL FIN. CREASE WAS ALSO SURROUNDED BY BLUE PAINT. CREASE AND BLUE PAINT ARE LIKELY FROM ANIMAL BEING PINNED TO THE BOW OF THE SHIP. THERE IS HEMORRHAGING OBSERVED ON THE OPPOSITE SIDE OF THE BODY FROM WHERE THE CREASE WAS, IT IS BELIEVED THAT THE VESSEL COLLISION WAS ANTE-MORTEM. RIGHT PECTORAL FLIPPER BROKEN AT INSERTION AND JAWS WERE SEPARATED, BOTH OF THESE ARE BELIEVED TO BE POST-MORTEM.","DEAD","NA",1,"N","Y"
"24","UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2020,9,3,"UNIDENTIFIED FISHERY INTERACTION","SANTA BARBARA","CA","NSI","BLUE WHALE WITH HEALING LINEAR SCAR POSTERIOR TO DORSAL FIN THAT APPEARS TO HAVE BEEN CAUSED BY LARGE DIAMETER ROPE OR OTHER ENTANGLING MATERIAL. THERE ARE ALSO RAW ABRASIONS THE LENGTH OF THE CAUDAL PEDUNCLE AND ON THE ANTERIOR MARGIN OF THE DORSAL FIN, INDICATING THAT ENTANGLING MATERIAL SHIFTED TOWARDS THE BACK OF THE WHALE AT SOME POINT. ANOTHER, LARGER DIAMETER INDENTATION IS VISIBLE MID-BODY FROM UAV FOOTAGE, PRESUMABLY FROM THE SAME ENTANGLEMENT. WHALE WAS FREE-SWIMMING WITH NO GEAR ATTACHED, IN APPARENT GOOD HEALTH, DESPITE EVIDENCE OF A PREVIOUS CONSTRICTING ENTANGLEMENT. ASSIGNED NON-SERIOUS INJURY AS THE WHALE IS GEAR FREE AND IN APPARENT GOOD HEALTH. .","NSI","L2",0,"N","N"
"25","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2008,10,19,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","CARCASS BROUGHT INTO HARBOR ON BOW OF FREIGHTER.","DEAD","NA",1,"N","Y"
"26","UNKNOWN","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2009,1,13,"UNIDENTIFIED FISHERY INTERACTION","LOS ANGELES","CA","SI (PRORATE)","FREE-SWIMMING ANIMAL TRAILING UNIDENTIFIED FISHING GEAR. AMOUNT, CONFIGURATION OF GEAR AND FINAL STATUS UNKNOWN","SI (PRORATE)","L10",0.75,"Y","Y"
"27","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2009,2,2,"VESSEL STRIKE","SAN DIEGO","CA","DEAD","U.S. NAVY VESSEL COLLIDED WITH FREE-SWIMMING WHALE THAT DIED UPON IMPACT, FLOATING AT SURFACE, BLOOD OBSERVED IN WATER; CARCASS RESIGHTED ON 14-FEB FLOATING SOUTH OF LA JOLLA COVE APPROXIMATELY 1 MILE OFFSHORE; CARCASS TOWED TO FIESTA ISLAND FOR DISPOSAL; FOUR FOOT LONG GASH RUNNING FROM MID-DORSAL TO LEFT LATERAL SURFACE, EXTENDING INTO BLUBBER; DEEP LACERATION.","DEAD","NA",1,"N","Y"
"28","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2009,4,10,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","CARCASS BROUGHT INTO HARBOR ON BOW OF FREIGHTER; FIELD NECROPSY REVEALED SIGNIFICANT BRUISING AND BLOOD LOSS IN AREA DORSAL OF LEFT PECTORAL FLIPPER AND SMALL BONE FRAGMENTS FROM SHATTERED SCAPULA.","DEAD","NA",1,"N","Y"
"29","UNKNOWN","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2009,5,6,"VESSEL STRIKE","SAN DIEGO","CA","SI","U.S. NAVY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL.  BLOOD AND FLESH OBSERVED IN WATER. SPECIES IDENTIFIED VIA GENETICS. PRESUMED MORTALITY. VESSEL SIZE = 567 FT. VESSEL SPEED = 16 KTS.","SI","L6A",1,"N","Y"
"30","UNKNOWN","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2009,6,8,"UNIDENTIFIED FISHERY INTERACTION","SAN DIEGO","CA","SI","FREE-SWIMMING ANIMAL TRAILING 300 FEET OF POLYPROPYLENE LINE AND BUOY FROM CAUDAL PEDUNCLE. REPORT RECEIVED VIA U.S. NAVY ON SCENE. GEAR CONFIGURATION AND AMOUNT UNKNOWN. FINAL STATUS UNKNOWN. ASSIGNED AS L2 BECAUSE OF LENGTH OF GEAR TRAILING ANIMAL, IMPLIES GREAT DRAG.","SI","L2",1,"Y","Y"
"31","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2009,8,7,"VESSEL STRIKE","PIERCE","WA","DEAD","BROUGHT IN ON THE BOW OF THE CONTAINER SHIP INTO THE PORT OF TACOMA BLAIR WATERWAY.","DEAD","NA",1,"N","Y"
"32","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2010,9,16,"VESSEL STRIKE","ALAMEDA","CA","DEAD","ANIMAL BROUGHT INTO PORT OF OAKLAND IMPINGED ON BOW OF SHIP","DEAD","NA",1,"N","Y"
"33","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2010,9,20,"VESSEL STRIKE","SAN FRANCISCO","CA","DEAD","BROKEN VERTEBRAE, LINEAR LACERATION","DEAD","NA",1,"N","Y"
"34","UNKNOWN","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2011,7,31,"UNIDENTIFIED FISHERY INTERACTION","MARIN","CA","SI","ORANGE/REDDISH LINE WRAPPED IN SEVERAL LAYERS BEHIND THE BLOWHOLE THAT HAD CUT DEEP INTO THE FLESH. ENTANGLEMENT LOOKED VERY TIGHT, WRAPPED LINE ABOUT 20 MM THICK WITH MANY TURNS. IT LOOKED LIKE THE WRAP IN TOTAL WAS A 200 MM THICK BUNDLE OF LINE. NO RESIGHTS, NO RELEASE, FINAL OUTCOME UNKNOWN. MULTIPLE WRAPS. CONSTRICTING GEAR. DEEP LACERATION.","SI","L2",1,"Y","Y"
"35","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2011,11,19,"VESSEL STRIKE","SAN DIEGO","CA","DEAD","FRACTURES ALONG 4 METER LENGTH OF VERTEBRAL COLUMN AND SIGNIFICANT MUSCLE HEMORRHAGE SURROUNDING THIS AREA INDICATE ANTE-MORTEM SHIP STRIKE.","DEAD","NA",1,"N","Y"
"36","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2012,6,21,"VESSEL STRIKE","MARIN","CA","DEAD","FRACTURED RIBS, VERTEBRAE. NECROPSY PERFORMED BY THE MARINE MAMMAL CENTER AND NATIONAL PARK SERVICE.","DEAD","NA",1,"N","Y"
"37","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2012,12,3,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","NECROPSY SUMMARY DIAGNOSIS: THE ANIMAL APPEARS TO HAVE SUCCUMBED AN INJURY CONSISTENT WITH AN IMPACT TRAUMA ALONG ITS LEFT DORSAL BODY BY A LARGE OBJECT (SHIP STRIKE) RESULTING IN SEVERE MUSCULOSKELETAL TRAUMA AND SUBSEQUENT NECROSIS OF THE TISSUES.","DEAD","NA",1,"N","Y"
"38","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2013,2,26,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","THE ANIMAL WAS BROUGHT INTO THE L.A. HARBOR ON THE BOW OF A CONTAINER SHIP ENROUTE FROM THE SOUTH.","DEAD","NA",1,"N","Y"
"39","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2013,4,13,"VESSEL STRIKE","KING","WA","DEAD","EXAMINATION REVEALED THAT THE WHALE HAD BEEN BEEN HIT BY A SHIP. THERE WERE SIGNS OF MAJOR TRAUMA AND BRUISING THAT WAS MOST PRONOUNCED ON THE RIGHT SIDE OF THE BODY. THE BRUISING THROUGH THE BLUBBER LAYER INDICATED THE ANIMAL WAS ALIVE WHEN STRUCK. SEVERAL AREAS OF ABRASION HAD WHAT APPEARED TO BE RED PAINT LIKELY FROM THE BOW OF THE SHIP. IT IS THOUGHT THAT THE BLOW OF HAVING BEEN STRUCK AND POSSIBLY CONTACT WITH PROPELLER OR BEING DRAGGED AT HIGH SPEED PINNED ON THE BOW RESULTED IN THE EVISCERATED CONDITION OF THE CARCASS.","DEAD","NA",1,"N","Y"
"40","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2013,6,13,"VESSEL STRIKE","GRAYS HARBOR","WA","DEAD","THE 68-FOOT ADULT MALE HAD BEEN IN FAIRLY GOOD HEALTH PRIOR TO DEATH WITH A HEALTHY OILY BLUBBER LAYER AND EVIDENCE OF HAVING FED RECENTLY BASED ON STOMACH CONTENTS. THERE WAS SUBSTANTIAL BRUISING IN THE BLUBBER AND UNDERLYING TISSUES ON THE LEFT SIDE OF THE HEAD AND THE UPPER AND LOWER LEFT JAW INDICATING SEVERE BLUNT FORCE TRAUMA CONSISTENT WITH HAVING BEEN KILLED BY COLLISION WITH A SHIP.","DEAD","NA",1,"N","Y"
"41","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2014,7,29,"VESSEL STRIKE","VENTURA","CA","DEAD","DEAD WHALE FLOATING IN HARBOR NEXT TO SHIP.  EXTERNAL AND INTERNAL EXAM AND NECROPSY","DEAD","NA",1,"N","Y"
"42","UNKNOWN","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2015,2,7,"UNIDENTIFIED FISHERY INTERACTION","ORANGE","CA","SI","UNKNOWN GEAR BEHIND BLOWHOLE, APPEARS TO BE CONSTRICTING AND LOOKS TO EXTEND TOWARDS MOUTH. GEAR CONFIGURATION AND AMOUNT UNKNOWN. VIDEO AND .","SI","L2",1,"Y","Y"
"43","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2015,4,10,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","MODERATE DECOMPOSITION. NECROPSIED. 307 PLATES OF BALEEN (LEFT), PARTS OF BROKEN VERTEBRA FROM CONTACT ZONE.","DEAD","NA",1,"N","Y"
"44","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2015,8,24,"VESSEL STRIKE","ALAMEDA","CA","DEAD","WHALE STUCK ON BOW OF VESSEL.","DEAD","NA",1,"N","Y"
"45","DECLINE","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2015,10,9,"UNIDENTIFIED FISHERY INTERACTION","ORANGE","CA","SI","PHOTOS SHOW ROPE / LINE AROUND BODY OF TRAVELING WHALE, BEHIND BLOWHOLE BUT FORWARD OF PECTORAL FLIPPER AREA. LINE APPEARS TO BE TIGHT / CONSTRICTING AROUND ANIMAL. WHALE APPEARs SLIGHTLY EMACIATED. HEALTH DECLINE.","SI","L2",1,"Y","Y"
"46","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2017,1,5,"VESSEL STRIKE","ALAMEDA","CA","DEAD","ANIMAL FIRST REPORTED OFF YERBA BUENA ISLAND BY USCG, WHEN A VESSEL APPEARED TO HAVE A CARCASS WRAPPED AROUND ITS BOW. THE CARCASS FELL OFF AS THE VESSEL TURNED TO APPROACH THE CHANNEL.  CARCASS WAS THEN SEEN AGAIN FLOATING IN OAKLAND HARBOR. FRACTURED RIBS WERE IDENTIFIED VIA NECROPSY AND CAUSE OF DEATH ATTRIBUTED TO VESSEL STRIKE.","DEAD","NA",1,"N","Y"
"47","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2017,5,12,"VESSEL STRIKE","PIERCE","WA","DEAD","FRESHLY-DEAD WHALE FOUND ON THE BOW OF A VESSEL AS IT APPROACHED COMMENCEMENT BAY. THIS WHALE WAS IN GOOD BODY CONDITION. THERE WAS A SIGNIFICANT AMOUNT OF HEMORRHAGE ALONG THE MID-BACK, WHICH WAS DETERMINED TO BE THE IMPACT POINT OF THE SHIP WHILE THE WHALE WAS STILL ALIVE.","DEAD","NA",1,"N","Y"
"48","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2018,5,16,"VESSEL STRIKE","ALAMEDA","CA","DEAD","DEAD WHALE DRAPED ACROSS THE BOW OF A LARGE SHIP ENTERING THE BAY.","DEAD","NA",1,"N","Y"
"49","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2018,5,22,"VESSEL STRIKE","MARIN","CA","DEAD","NECROPSY REPORT AND PHOTOS NOTE EXTENSIVE MUSCLE HEMMORHAGING, FRACTURES TO SKULL, RIBS, AND VERTEBRAE, CONSISTENT WITH VESSEL STRIKE.","DEAD","NA",1,"N","Y"
"50","UNKNOWN","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2018,5,24,"UNIDENTIFIED FISHERY INTERACTION","SANTA BARBARA","CA","SI","A BALL OF DARK ROPE ON THE BACK POSTERIOR TO BLOWHOLE THAT LEADS TO THE HEAD AND MOUTH AREA. ROPE APPEARED TIGHT (=CONSTRICTING ENTANGLEMENT).  AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI","L2",1,"Y","Y"
"51","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2018,10,8,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","CAME IN DEAD ON BOW OF VESSEL. LARGE IMPACT WOUND ON RIGHT SIDE OF BODY BEHIND PECTORAL FLIPPER. JAWS BEGINNING TO TEAR APART.","DEAD","NA",1,"N","Y"
"52","DEAD","FIN WHALE","CALIFORNIA - OREGON - WASHINGTON",2021,4,23,"VESSEL STRIKE","SAN FRANCISCO","CA","DEAD","THERE WERE THREE LINEAR ABRASIONS ON THE LEFT VENTRAL FLUKE EXTENDING FROM THE CRANIAL/LEADING EDGE TO THREE QUARTERS OF DEPTH OF THE FLUKE. THERE WERE ALSO TWO LINEAR ABRASIONS ON THE RIGHT FLUKE. THE MORE MEDIAL ABRASIONS EXTENDED FROM THE LEADING EDGE TO THE TAILING EDGE AND HAD ASSOCIATED SCARRING.  EXTENSIVE LIQUEFACTION OF THE EPAXIAL MUSCLES ALONG THE LEFT SIDE. HEMORRHAGE OF THE SKELETAL MUSCLE AROUND THE LEFT PECTORAL FIPPER NO FRACTURES WERE NOTED IN THE THORACIC OR LUMBAR VERTEBRAE. THE VERTEBRAL GROWTH PLATES SEPARATED EASILY (IMMATURITY). NO RIB FRACTURES WERE FOUND; HOWEVER, THE RIBS WERE EASILY DISARTICULATED FROM THE VERTEBRAL ARTICULATIONS ADJACENT TO THE LIQUEFIED EPAXIAL MUSCLES. THE C6 VERTEBRAE RIGHT TRANSVERSE PROCESS HAD A SIMPLE TRANSVERSE FRACTURE. NECROTIC MUSCLE LIQUEFACTION CHARACTERISTIC OF BLUNT FORCE TRAUMA.","DEAD","NA",1,"N","Y"
